"Measurement outcome","Frequency"
"000000","1482"
"000001","92"
"000010","101"
"000011","30"
"000100","89"
"000101","10"
"000110","25"
"000111","13"
"001000","78"
"001001","2"
"001010","10"
"001011","2"
"001100","30"
"001101","5"
"001110","16"
"001111","9"
"010000","62"
"010001","3"
"010010","5"
"010011","2"
"010100","3"
"010101","2"
"010110","2"
"010111","2"
"011000","28"
"011010","2"
"011100","9"
"011101","3"
"011110","8"
"011111","12"
"100000","106"
"100001","7"
"100010","6"
"100011","3"
"100100","7"
"100101","3"
"100110","7"
"100111","6"
"101000","32"
"101001","3"
"101010","2"
"101011","1"
"101100","19"
"101101","4"
"101110","12"
"101111","10"
"110000","141"
"110001","12"
"110010","6"
"110011","1"
"110100","27"
"110101","5"
"110110","15"
"110111","16"
"111000","103"
"111001","9"
"111010","26"
"111011","19"
"111100","101"
"111101","22"
"111110","69"
"111111","63"
